feature,mean_abs_shap
patient_type,0.752842872123852
pneumonia,0.294732075702702
age,0.23044056877245234
contact_other_covid,0.13581416652887324
covid_res,0.1321797946983584
intubed,0.04464806045350269
diabetes,0.01611211543915838
hypertension,0.002763536324734532
sex,0.0021039988891190585
pregnancy,0.0015965473607558757
