feature,mean_abs_shap
icu,1.0378169543449256
intubed,0.9412059865180625
patient_type,0.5241282287412431
pneumonia,0.2334607604988537
age,0.19096238100714238
contact_other_covid,0.14172441874043698
covid_res,0.11403214149278014
sex,0.05645249313969734
date_entry_symptom,0.008803823712462633
diabetes,0.0028261074410453188
