feature,mean_abs_shap
pneumonia,1.4676692109223994
contact_other_covid,0.9788401937424569
age,0.9218195067648844
covid_res,0.5630251414267137
sex,0.23922916269509462
diabetes,0.1601856989969272
date_entry_symptom,0.08313420951194338
hypertension,0.0757107699943536
obesity,0.0523489908727543
other_disease,0.04634131945928604
